material,uses,eta_const,glyph,style,src
logout,1,exit,exit,filled,filled
lyrics,1,fileMusic,file_music,filled,filled
lyrics_outlined,10,fileMusicOutline,file_music,regular,regular
manage_search,1,search3,search_3,filled,filled
manage_search_outlined,2,search3Outline,search_3,regular,regular
memory_outlined,2,chipOutline,chip,regular,regular
menu_book,1,book,book_2,filled,filled
menu_book_outlined,2,bookOutline,book_2,regular,regular
menu_open,3,menu,menu,filled,filled
menu_rounded,2,menu,menu,filled,filled
mic_external_on,1,mic,mic,filled,filled
mic_external_on_outlined,3,micOutline,mic,regular,regular
mobile_screen_share_outlined,1,shareForwardOutline,share_forward,regular,regular
mode_comment_outlined,1,commentOutline,comment,regular,regular
monitor_heart_outlined,2,heartbeatOutline,heartbeat_2,regular,regular
more_horiz,1,dots,dots,filled,filled
more_vert,2,dotsVertical,dots_vertical,filled,filled
multiline_chart,1,chartLine,chart_line,filled,filled
music_note,8,music,music,filled,filled
music_note_outlined,5,musicOutline,music,regular,regular
music_off_outlined,1,volumeOffOutline,volume_off,regular,regular
my_location,1,aiming,aiming,filled,filled
my_location_outlined,1,aimingOutline,aiming,regular,regular
nights_stay,1,moonStars,moon_stars,filled,filled
north_west,1,cornerUpLeft,corner_up_left,filled,filled
notes_outlined,1,musicOutline,music,regular,regular
numbers_outlined,1,hashtagOutline,hashtag,regular,regular
offline_pin,1,pin,pin_2,filled,filled
offline_pin_outlined,2,pinOutline,pin_2,regular,regular
opacity,1,drop,drop,filled,filled
palette_outlined,5,paletteOutline,palette,regular,regular
password_outlined,5,keyOutline,key_1,regular,regular
pause,2,pause,pause,filled,filled
pause_circle_filled,1,pauseCircle,pause_circle,filled,filled
pause_circle_outline,3,pauseCircleOutline,pause_circle,regular,regular
pause_rounded,2,pause,pause,filled,filled
person,3,user,user_1,filled,filled
person_outline,8,userOutline,user_1,regular,regular
photo_library_outlined,1,album2Outline,album_2,regular,regular
pie_chart_outline,1,chartPieOutline,chart_pie,regular,regular
play_arrow,10,play,play,filled,filled
play_arrow_rounded,7,play,play,filled,filled
play_circle_filled,1,playCircle,play_circle,filled,filled
play_circle_outline,4,playCircleOutline,play_circle,regular,regular
playlist_play,1,playlist,playlist,filled,filled
power_settings_new_outlined,2,powerOutline,power,regular,regular
public,1,earth,earth,filled,filled
published_with_changes_outlined,1,publishedWithChangesOutline,published_with_changes_outlined,regular,added
qr_code_2,4,qrcode,qrcode_2,filled,filled
queue_music,6,playlist,playlist,filled,filled
queue_music_outlined,3,playlistOutline,playlist,regular,regular
radio_button_checked,1,dotCircle,dot_circle,filled,filled
radio_button_off,1,circleDash,circle_dash,filled,filled
refresh,18,refresh,refresh_2,filled,filled
refresh_outlined,1,refreshOutline,refresh_2,regular,regular
repeat,2,repeat,repeat,filled,filled
repeat_one,2,repeatOne,repeat_one,filled,filled
restart_alt,2,refreshAnticlockwise,refresh_anticlockwise_1,filled,filled
rounded_corner,2,borderRadius,border_radius,filled,filled
schedule,1,clock,clock,filled,filled
science_outlined,1,flaskOutline,flask,regular,regular
sd_storage_outlined,1,storageOutline,storage,regular,regular
search,6,search2,search_2,filled,filled
search_off,2,search2None,search_2_none,filled,filled
security_outlined,3,shieldOutline,shield,regular,regular
select_all,1,multiselect,multiselect,filled,filled
send,1,sendPlane,send_plane,filled,filled
settings_outlined,2,settingsOutline,settings_1,regular,regular
shield_outlined,1,shieldOutline,shield,regular,regular
shuffle,2,shuffle,shuffle,filled,filled
skip_next,2,skipForward,skip_forward,filled,filled
skip_next_outlined,2,skipForwardOutline,skip_forward,regular,regular
skip_previous,2,skipPrevious,skip_previous,filled,filled
space_bar,1,space,space,filled,filled
speaker,1,speaker,speaker,filled,filled
speaker_outlined,2,speakerOutline,speaker,regular,regular
speed,1,dashboard3,dashboard_3,filled,filled
speed_outlined,5,dashboard4Outline,dashboard_4,regular,regular
star,1,star,star,filled,filled
star_outline,2,starOutline,star,regular,regular
stop,3,stop,stop,filled,filled
storage_outlined,4,storageOutline,storage,regular,regular
storefront_outlined,1,storeOutline,store,regular,regular
subtitles,1,subtitle,subtitle,filled,filled
subtitles_off_outlined,1,subtitleOutline,subtitle,regular,regular
subtitles_outlined,1,subtitleOutline,subtitle,regular,regular
swap_horiz,1,transferHorizontal,transfer_horizontal,filled,filled
sync,2,refresh,refresh_2,filled,filled
sync_lock_outlined,3,lockOutline,lock,regular,regular
sync_problem_outlined,1,warningOutline,warning,regular,regular
text_fields_outlined,2,fontSizeOutline,font_size,regular,regular
text_snippet_outlined,1,docmentOutline,docment,regular,regular
thumb_up_alt_outlined,1,thumbUpOutline,thumb_up,regular,regular
thunderstorm,1,thunderstorm,thunderstorm,filled,filled
tonality_outlined,2,tonalityOutline,tonality_outlined,regular,added
transform_rounded,1,transfer,transfer_2,filled,filled
translate,1,translate,translate,filled,filled
translate_outlined,1,translateOutline,translate,regular,regular
travel_explore,2,earth,earth,filled,filled
tune,5,filter,filter,filled,filled
verified_outlined,1,safetyCertificateOutline,safety_certificate,regular,regular
view_column_outlined,2,columnsOutline,columns_2,regular,regular
view_stream_outlined,2,menuOutline,menu,regular,regular
visibility_off_outlined,4,eyeCloseOutline,eye_close,regular,regular
visibility_outlined,3,eyeOutline,eye_2,regular,regular
volume_down,1,volumeMute,volume_mute,filled,filled
volume_off,1,volumeOff,volume_off,filled,filled
volume_up,1,volume,volume,filled,filled
vpn_key_outlined,1,keyOutline,key_1,regular,regular
wallpaper_outlined,1,picOutline,pic,regular,regular
warning_amber_outlined,1,warningOutline,warning,regular,regular
warning_amber_rounded,5,warning,warning,filled,filled
water_drop,2,drop,drop,filled,filled
wb_cloudy,1,cloud,cloud,filled,filled
wb_sunny,1,sun,sun,filled,filled
wb_sunny_outlined,3,sunOutline,sun,regular,regular
wifi_tethering,1,wifi,wifi,filled,filled
workspace_premium_outlined,2,medalOutline,medal,regular,regular
zoom_out_map_outlined,2,fullscreenExit2Outline,fullscreen_exit_2,regular,regular
